cpu_temp, gpu_temp, mem_usage, cpu_usage, gpu_usage
61.553571, 51.300000, 20.800975, 2.761904, 0.100000
67.500000, 51.000000, 17.384290, 2.800000, 1.200000
68.000000, 49.333333, 21.437590, 2.834782, 0.000000
68.000000, 48.000000, 16.520740, 2.900000, 2.000000
67.533333, 48.000000, 20.762191, 2.900000, 0.100000
65.875000, 47.000000, 21.757478, 3.000000, 0.000000
65.000000, 46.000000, 17.405611, 3.000000, 1.000000
65.980000, 46.000000, 21.104488, 3.100000, 0.166666
63.969230, 46.000000, 21.819316, 3.118181, 0.166666
62.411764, 45.500000, 20.344242, 3.200000, 1.000000
64.538461, 47.000000, 19.774406, 3.200000, 0.230769
65.703703, 47.571428, 21.394894, 3.271428, 0.375000
66.000000, 47.000000, 15.994025, 3.300000, 1.000000
66.428571, 47.500000, 21.327252, 3.341666, 0.071428
65.700000, 47.222222, 22.068930, 3.400000, 0.000000
66.428571, 47.000000, 18.357675, 3.400000, 0.000000
64.845070, 46.750000, 21.740356, 3.500000, 0.000000
63.666666, 46.833333, 22.041110, 3.527777, 0.000000
65.909090, 47.625000, 18.186690, 3.600000, 0.875000
65.388059, 47.000000, 21.505330, 3.600000, 0.181818
65.524590, 46.941176, 21.585700, 3.700000, 0.055555
64.272727, 46.833333, 21.649344, 3.712500, 0.166666
66.000000, 47.000000, 18.408037, 3.800000, 0.000000
64.362318, 46.769230, 21.844073, 3.803703, 0.000000
64.444444, 46.500000, 21.459076, 3.900000, 0.000000
64.031746, 46.700000, 21.915195, 3.942857, 0.100000
64.000000, 46.000000, 16.285625, 4.000000, 0.500000
65.032786, 46.636363, 21.108759, 4.000000, 0.166666
65.378787, 47.000000, 21.955483, 4.100000, 0.000000
66.000000, 47.000000, 16.170925, 4.100000, 3.000000
66.000000, 47.000000, 21.437372, 4.173913, 0.083333
65.818181, 47.000000, 21.621770, 4.200000, 0.071428
65.000000, 47.000000, 19.573733, 4.300000, 0.000000
65.851063, 47.000000, 20.758468, 4.300000, 0.000000
66.000000, 47.000000, 21.240732, 4.344444, 0.200000
66.000000, 47.000000, 18.562536, 4.400000, 0.333333
66.390243, 47.000000, 20.933366, 4.400000, 0.300000
66.000000, 47.000000, 21.326363, 4.500000, 0.250000
66.000000, 47.000000, 20.918833, 4.500000, 0.285714
64.500000, 46.200000, 22.348809, 4.547826, 0.333333
64.476923, 46.473684, 21.739147, 4.600000, 0.052631
64.065573, 46.769230, 21.647425, 4.670833, 0.000000
64.418918, 47.526315, 21.631439, 4.707407, 0.052631
64.890909, 47.000000, 22.592986, 4.800000, 0.000000
66.000000, 47.000000, 16.829600, 4.800000, 0.500000
