cpu_temp, gpu_temp, mem_usage, cpu_usage, gpu_usage
63.014492, 51.666666, 21.001675, 2.779166, 0.000000
68.000000, 50.500000, 15.932975, 2.800000, 2.000000
68.000000, 49.000000, 21.175864, 2.852173, 0.166666
68.000000, 48.000000, 16.783028, 2.900000, 1.000000
67.463414, 48.000000, 20.696950, 2.900000, 0.055555
65.909090, 47.000000, 21.312106, 3.000000, 0.000000
65.623188, 46.000000, 21.300885, 3.059259, 0.200000
64.028169, 46.000000, 21.646204, 3.112000, 0.000000
62.578947, 46.000000, 20.635420, 3.200000, 1.000000
64.641025, 47.000000, 19.269062, 3.200000, 0.230769
65.673076, 47.625000, 21.468816, 3.275000, 0.428571
66.000000, 47.000000, 16.093750, 3.300000, 1.500000
66.411764, 47.615384, 21.498858, 3.336000, 0.071428
65.760000, 47.090909, 21.680014, 3.400000, 0.181818
64.552238, 46.666666, 21.779800, 3.484000, 0.000000
66.000000, 47.000000, 16.666183, 3.500000, 1.500000
64.573333, 47.117647, 21.478292, 3.561538, 0.052631
65.218750, 47.000000, 21.641392, 3.600000, 0.166666
64.500000, 46.800000, 19.344611, 3.700000, 0.166666
66.000000, 47.000000, 20.843631, 3.700000, 0.125000
64.898550, 47.000000, 21.958446, 3.760000, 0.000000
64.363636, 46.750000, 21.847507, 3.803846, 0.000000
64.470588, 46.571428, 21.644465, 3.900000, 0.000000
63.000000, 46.500000, 20.153900, 3.900000, 0.333333
64.767441, 46.833333, 20.836211, 4.000000, 0.000000
64.765625, 46.583333, 21.867950, 4.000000, 0.166666
65.443181, 46.952380, 21.278515, 4.091176, 0.045454
65.941176, 47.000000, 21.741557, 4.152000, 0.250000
65.000000, 46.500000, 16.723360, 4.200000, 1.000000
66.000000, 47.000000, 21.594108, 4.200000, 0.076923
65.431034, 47.000000, 21.718068, 4.300000, 0.000000
65.333333, 47.000000, 16.603875, 4.300000, 1.500000
66.000000, 47.000000, 21.095339, 4.369230, 0.181818
66.000000, 47.000000, 21.586795, 4.400000, 0.400000
