cpu_temp, gpu_temp, mem_usage, cpu_usage, gpu_usage
55.000000, 49.500000, 15.148220, 10.280000, 0.333333
57.150000, 50.500000, 15.121450, 10.400000, 0.500000
60.000000, 51.000000, 15.078516, 10.500000, 2.000000
61.000000, 51.000000, 15.010180, 10.600000, 1.000000
62.291666, 50.000000, 14.997616, 10.700000, 1.500000
63.000000, 50.000000, 15.034260, 10.840000, 0.000000
63.000000, 49.000000, 15.164433, 10.950000, 0.666666
63.000000, 49.000000, 15.234325, 11.025000, 0.500000
63.000000, 48.500000, 15.128400, 11.100000, 0.500000
62.000000, 48.000000, 15.140640, 11.200000, 1.000000
62.000000, 48.000000, 15.182980, 11.300000, 1.000000
63.000000, 48.000000, 15.192580, 11.400000, 2.500000
64.000000, 48.000000, 15.230960, 11.500000, 2.000000
63.000000, 47.000000, 15.254116, 11.600000, 0.500000
63.000000, 47.000000, 15.328900, 11.700000, 2.000000
62.200000, 47.000000, 15.169700, 11.783333, 0.500000
62.000000, 47.000000, 15.219900, 11.860000, 1.000000
62.000000, 47.000000, 15.536633, 11.920000, 1.000000
61.000000, 47.000000, 15.407180, 12.000000, 1.500000
61.000000, 46.500000, 15.252720, 12.100000, 0.500000
61.000000, 46.500000, 14.994060, 12.200000, 0.500000
60.050000, 46.000000, 15.069100, 12.200000, 1.000000
60.000000, 46.000000, 15.158240, 12.300000, 1.500000
60.187500, 46.000000, 15.211860, 12.400000, 0.000000
61.000000, 46.000000, 15.299800, 12.500000, 1.000000
61.000000, 46.000000, 15.476133, 12.583333, 3.000000
61.000000, 46.000000, 15.471940, 12.600000, 1.000000
60.250000, 46.000000, 15.491660, 12.700000, 1.500000
60.000000, 46.000000, 15.231366, 12.800000, 2.000000
59.058823, 46.000000, 15.440400, 12.800000, 2.000000
59.000000, 46.000000, 15.162980, 12.900000, 0.500000
59.000000, 46.000000, 15.263283, 13.000000, 1.500000
59.000000, 46.000000, 15.419300, 13.000000, 2.000000
60.000000, 46.500000, 15.295340, 13.100000, 1.000000
60.000000, 46.500000, 15.285340, 13.160000, 0.500000
61.000000, 47.000000, 14.740975, 13.200000, 0.000000
61.000000, 47.000000, 14.763350, 13.300000, 0.500000
62.000000, 47.000000, 14.754833, 13.400000, 0.500000
61.000000, 47.000000, 16.115171, 13.450000, 1.000000
61.173913, 47.000000, 15.659666, 13.500000, 0.400000
62.000000, 47.000000, 15.542066, 13.600000, 1.000000
62.000000, 47.000000, 15.846940, 13.600000, 0.500000
61.478260, 47.000000, 16.487341, 13.700000, 1.500000
61.000000, 47.000000, 16.370657, 13.757142, 1.500000
62.000000, 46.000000, 14.953100, 13.800000, 0.500000
62.000000, 47.000000, 15.076380, 13.900000, 0.500000
62.000000, 46.666666, 15.706860, 14.000000, 0.666666
61.480000, 46.000000, 16.745230, 14.050000, 1.000000
61.161290, 46.714285, 16.871700, 14.141666, 0.500000
60.631578, 46.000000, 16.619312, 14.214285, 3.000000
60.000000, 46.000000, 16.017916, 14.300000, 0.500000
60.050000, 46.000000, 15.143460, 14.300000, 1.000000
60.208333, 46.000000, 14.997000, 14.400000, 1.000000
60.266666, 46.000000, 15.194350, 14.400000, 0.500000
60.000000, 46.000000, 15.280000, 14.500000, 2.500000
60.571428, 45.000000, 15.327960, 14.500000, 3.000000
61.000000, 46.000000, 15.516975, 14.600000, 1.500000
60.000000, 45.500000, 15.431666, 14.633333, 0.333333
60.000000, 45.500000, 15.818400, 14.700000, 0.666666
59.520000, 46.000000, 16.408888, 14.754545, 0.500000
60.481481, 46.000000, 16.507527, 14.810000, 0.250000
60.333333, 46.600000, 16.290487, 14.900000, 0.500000
60.000000, 46.000000, 16.126650, 14.900000, 2.000000
61.000000, 47.000000, 15.802483, 15.000000, 1.000000
61.000000, 47.000000, 15.979771, 15.012500, 0.500000
61.000000, 47.000000, 15.918333, 15.100000, 1.500000
61.000000, 47.000000, 15.424166, 15.100000, 1.000000
61.000000, 47.000000, 15.148150, 15.200000, 1.000000
61.142857, 47.000000, 15.103233, 15.200000, 3.000000
62.000000, 47.000000, 15.269150, 15.300000, 1.500000
62.000000, 47.500000, 16.168157, 15.300000, 2.000000
62.000000, 47.000000, 16.072300, 15.400000, 0.500000
62.000000, 47.500000, 15.654971, 15.400000, 0.500000
62.000000, 47.000000, 15.406875, 15.400000, 0.500000
62.000000, 47.000000, 15.648220, 15.500000, 0.333333
62.000000, 47.000000, 15.537416, 15.500000, 0.500000
61.000000, 46.000000, 15.663060, 15.500000, 0.000000
60.000000, 46.000000, 15.522475, 15.600000, 1.000000
60.052631, 46.000000, 15.509633, 15.600000, 0.500000
60.000000, 46.000000, 15.423025, 15.600000, 1.000000
59.312500, 46.000000, 15.963512, 15.700000, 1.000000
60.000000, 46.000000, 16.126385, 15.700000, 0.333333
60.833333, 46.000000, 16.024960, 15.780000, 1.000000
61.000000, 46.000000, 16.151040, 15.800000, 0.000000
61.000000, 47.000000, 16.151457, 15.800000, 1.500000
61.000000, 47.000000, 16.110833, 15.883333, 1.000000
61.000000, 47.000000, 15.704166, 15.900000, 1.500000
61.000000, 47.000000, 15.579220, 15.900000, 1.500000
62.000000, 47.000000, 15.744416, 15.966666, 0.500000
62.000000, 47.000000, 15.512025, 16.000000, 1.000000
62.000000, 47.000000, 15.332100, 16.000000, 0.500000
62.000000, 47.000000, 15.415500, 16.000000, 0.500000
62.000000, 47.000000, 15.450500, 16.100000, 0.500000
62.000000, 47.000000, 15.450050, 16.100000, 0.500000
62.000000, 46.500000, 15.964340, 16.200000, 1.000000
61.000000, 46.000000, 16.392233, 16.200000, 1.000000
60.285714, 46.000000, 16.350112, 16.200000, 0.666666
60.047619, 46.000000, 16.357766, 16.277777, 0.333333
60.000000, 46.000000, 16.088533, 16.300000, 1.000000
60.000000, 46.000000, 15.208250, 16.300000, 1.000000
